"order_number","order_date","delivery_date","delivery_date","customer_key","store_key","product_key","quantity","revenue","cost","profit","delivery_delay_days","order_channel"
"1001013",2017-09-27,2017-09-27,,1682354,43,447,1,229.90,117.21,112.69,0,In-Store
"1001013",2017-09-27,2017-09-27,,1682354,43,450,3,2757.00,913.44,1843.56,0,In-Store
"1001013",2017-09-27,2017-09-27,,1682354,43,183,1,109.00,50.13,58.87,0,In-Store
"1001013",2017-09-27,2017-09-27,,1682354,43,1340,2,28.38,14.46,13.92,0,In-Store
"1001013",2017-09-27,2017-09-27,,1682354,43,1542,3,990.00,455.28,534.72,0,In-Store
"1001013",2017-09-27,2017-09-27,,1682354,43,1602,6,1079.94,496.62,583.32,0,In-Store
"1002000",2017-09-28,2017-09-28,,836443,32,1437,10,1990.00,915.10,1074.90,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,1480,1,129.00,65.77,63.23,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,2113,10,5080.00,2589.90,2490.10,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,2178,2,890.00,409.28,480.72,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,1429,1,289.00,132.90,156.10,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,454,1,269.90,137.60,132.30,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,220,1,1109.00,367.43,741.57,0,In-Store
"1002001",2017-09-28,2017-09-28,,1928466,65,150,3,3554.91,1177.80,2377.11,0,In-Store
"1002002",2017-09-28,2017-09-28,,1997765,48,443,3,1047.00,481.47,565.53,0,In-Store
"1002003",2017-09-28,2017-09-28,,1691296,56,1653,6,659.94,336.48,323.46,0,In-Store
"1002003",2017-09-28,2017-09-28,,1691296,56,1601,4,639.96,294.28,345.68,0,In-Store
"1002003",2017-09-28,2017-09-28,,1691296,56,420,1,499.90,254.86,245.04,0,In-Store
"1002004",2017-09-28,2017-09-28,,209171,10,80,3,121.65,55.95,65.70,0,In-Store
"1002004",2017-09-28,2017-09-28,,209171,10,2108,1,508.00,258.99,249.01,0,In-Store
"1002004",2017-09-28,2017-09-28,,209171,10,1665,1,4.99,2.54,2.45,0,In-Store
"1002004",2017-09-28,2017-09-28,,209171,10,165,6,4581.06,2335.56,2245.50,0,In-Store
"1002004",2017-09-28,2017-09-28,,209171,10,1578,2,438.00,145.12,292.88,0,In-Store
"1002005",2017-09-28,2017-09-28,,1541239,44,1617,2,115.98,53.34,62.64,0,In-Store
"1002005",2017-09-28,2017-09-28,,1541239,44,2241,1,229.99,105.76,124.23,0,In-Store
"1002006",2017-09-28,2017-09-28,,165032,6,1414,2,512.00,235.46,276.54,0,In-Store
"1002008",2017-09-28,2017-09-28,,1967380,53,1632,1,17.99,8.27,9.72,0,In-Store
"1002008",2017-09-28,2017-09-28,,1967380,53,135,7,2449.65,1126.51,1323.14,0,In-Store
"1002008",2017-09-28,2017-09-28,,1967380,53,2171,3,2237.97,1029.15,1208.82,0,In-Store
"1002009",2017-09-28,2017-09-28,,1669971,61,1100,10,6320.00,2093.90,4226.10,0,In-Store
"1002009",2017-09-28,2017-09-28,,1669971,61,1615,1,289.99,96.08,193.91,0,In-Store
"1002010",2017-09-28,2017-09-28,,1971514,61,661,3,684.00,226.62,457.38,0,In-Store
"1002010",2017-09-28,2017-09-28,,1971514,61,1580,2,438.00,145.12,292.88,0,In-Store
"1002010",2017-09-28,2017-09-28,,1971514,61,2100,5,7375.00,2443.50,4931.50,0,In-Store
"1002011",2017-09-28,2017-10-02,2017-10-02,1513646,0,1790,3,129.00,65.76,63.24,4,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,88,3,449.97,149.07,300.90,5,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,817,6,57.00,29.04,27.96,5,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,2384,1,459.99,211.53,248.46,5,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,2407,1,399.99,183.94,216.05,5,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,1333,2,65.98,30.34,35.64,5,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,75,2,75.90,34.90,41.00,5,Online
"1002012",2017-09-28,2017-10-03,2017-10-03,2073064,0,448,7,1889.30,963.20,926.10,5,Online
"1002013",2017-09-28,2017-09-28,,1307638,65,1448,4,1024.00,470.92,553.08,0,In-Store
"1002014",2017-09-28,2017-09-28,,1267970,65,445,1,559.00,257.06,301.94,0,In-Store
"1003000",2017-09-29,2017-10-09,2017-10-09,1708493,0,1596,8,101.28,46.56,54.72,10,Online
"1003000",2017-09-29,2017-10-09,2017-10-09,1708493,0,109,2,265.98,122.32,143.66,10,Online
"1003000",2017-09-29,2017-10-09,2017-10-09,1708493,0,1458,2,400.00,183.94,216.06,10,Online
"1003000",2017-09-29,2017-10-09,2017-10-09,1708493,0,456,2,1118.00,514.12,603.88,10,Online
"1003001",2017-09-29,2017-09-29,,1139356,42,1112,3,1935.00,641.10,1293.90,0,In-Store
"1003002",2017-09-29,2017-09-29,,478298,24,331,2,398.00,202.92,195.08,0,In-Store
"1003002",2017-09-29,2017-09-29,,478298,24,63,2,362.00,166.48,195.52,0,In-Store
"1003003",2017-09-29,2017-09-29,,517556,22,2162,6,894.00,455.76,438.24,0,In-Store
"1003003",2017-09-29,2017-09-29,,517556,22,1125,3,1308.60,433.56,875.04,0,In-Store
"1003004",2017-09-29,2017-10-05,2017-10-05,1112418,0,145,1,2899.99,960.82,1939.17,6,Online
"1003004",2017-09-29,2017-10-05,2017-10-05,1112418,0,371,3,1797.00,826.38,970.62,6,Online
"1003004",2017-09-29,2017-10-05,2017-10-05,1112418,0,1356,3,107.97,49.65,58.32,6,Online
"1003006",2017-09-29,2017-09-29,,1622508,55,1746,1,109.00,36.11,72.89,0,In-Store
"1003006",2017-09-29,2017-09-29,,1622508,55,394,1,758.00,348.58,409.42,0,In-Store
"1003006",2017-09-29,2017-09-29,,1622508,55,2114,2,515.00,262.56,252.44,0,In-Store
"1003007",2017-09-29,2017-09-29,,1091419,37,491,3,1857.00,615.27,1241.73,0,In-Store
"1003008",2017-09-29,2017-09-29,,528376,23,63,4,724.00,332.96,391.04,0,In-Store
"1003008",2017-09-29,2017-09-29,,528376,23,903,2,151.98,77.48,74.50,0,In-Store
"1003009",2017-09-29,2017-10-02,2017-10-02,1691988,0,21,2,268.00,123.24,144.76,3,Online
"1004000",2017-09-30,2017-09-30,,494472,24,1717,8,561.04,258.00,303.04,0,In-Store
"1004000",2017-09-30,2017-09-30,,494472,24,850,2,461.80,153.00,308.80,0,In-Store
"1004000",2017-09-30,2017-09-30,,494472,24,1616,6,341.94,157.26,184.68,0,In-Store
"1004001",2017-09-30,2017-09-30,,1948390,57,1509,3,930.00,427.68,502.32,0,In-Store
"1004001",2017-09-30,2017-09-30,,1948390,57,443,9,3141.00,1444.41,1696.59,0,In-Store
"1004001",2017-09-30,2017-09-30,,1948390,57,50,3,599.85,275.85,324.00,0,In-Store
"1004001",2017-09-30,2017-09-30,,1948390,57,165,3,2290.53,1167.78,1122.75,0,In-Store
"1004002",2017-09-30,2017-09-30,,1533095,55,1631,1,12.66,5.82,6.84,0,In-Store
"1004003",2017-09-30,2017-09-30,,1923233,44,472,2,138.00,70.36,67.64,0,In-Store
"1004003",2017-09-30,2017-09-30,,1923233,44,869,6,419.94,193.14,226.80,0,In-Store
"1004003",2017-09-30,2017-09-30,,1923233,44,376,6,2297.70,1171.44,1126.26,0,In-Store
"1004005",2017-09-30,2017-09-30,,1052486,37,1809,2,64.00,32.62,31.38,0,In-Store
"1004005",2017-09-30,2017-09-30,,1052486,37,1594,2,19.98,10.18,9.80,0,In-Store
"1004005",2017-09-30,2017-09-30,,1052486,37,178,6,396.00,201.90,194.10,0,In-Store
"1004005",2017-09-30,2017-09-30,,1052486,37,782,1,12.95,6.60,6.35,0,In-Store
"1004005",2017-09-30,2017-09-30,,1052486,37,1888,1,1989.00,914.67,1074.33,0,In-Store
"1004006",2017-09-30,2017-09-30,,34081,5,1594,3,29.97,15.27,14.70,0,In-Store
"1004006",2017-09-30,2017-09-30,,34081,5,448,1,269.90,137.60,132.30,0,In-Store
"1004006",2017-09-30,2017-09-30,,34081,5,68,3,77.07,39.30,37.77,0,In-Store
"1004007",2017-09-30,2017-09-30,,133928,6,1449,9,2700.00,1241.64,1458.36,0,In-Store
"1004009",2017-09-30,2017-09-30,,32455,6,2110,3,4425.00,1466.10,2958.90,0,In-Store
"1004010",2017-09-30,2017-10-05,2017-10-05,1209643,0,98,5,600.00,275.90,324.10,5,Online
"1004010",2017-09-30,2017-10-05,2017-10-05,1209643,0,711,8,1088.00,500.32,587.68,5,Online
"1004010",2017-09-30,2017-10-05,2017-10-05,1209643,0,733,4,632.00,290.64,341.36,5,Online
"1004011",2017-09-30,2017-09-30,,1752382,56,449,1,349.00,160.49,188.51,0,In-Store
"1004011",2017-09-30,2017-09-30,,1752382,56,2006,1,94.99,48.43,46.56,0,In-Store
"1004011",2017-09-30,2017-09-30,,1752382,56,1560,4,1320.00,607.04,712.96,0,In-Store
"1004012",2017-09-30,2017-10-07,2017-10-07,1877046,0,918,6,1074.00,355.86,718.14,7,Online
"1004013",2017-09-30,2017-09-30,,1231860,50,2029,3,299.97,152.94,147.03,0,In-Store
"1004013",2017-09-30,2017-09-30,,1231860,50,1571,10,569.90,262.10,307.80,0,In-Store
"1004013",2017-09-30,2017-09-30,,1231860,50,59,9,1404.00,715.77,688.23,0,In-Store
"1004013",2017-09-30,2017-09-30,,1231860,50,1559,2,598.00,275.00,323.00,0,In-Store
"1004013",2017-09-30,2017-09-30,,1231860,50,776,5,119.50,54.95,64.55,0,In-Store
"1004014",2017-09-30,2017-09-30,,2023185,64,56,8,2368.00,784.56,1583.44,0,In-Store
"1004014",2017-09-30,2017-09-30,,2023185,64,457,3,659.85,336.42,323.43,0,In-Store
"1004018",2017-09-30,2017-09-30,,2053447,63,104,1,115.00,52.88,62.12,0,In-Store
"1004018",2017-09-30,2017-09-30,,2053447,63,1620,2,121.98,56.10,65.88,0,In-Store
"1004018",2017-09-30,2017-09-30,,2053447,63,2093,3,1524.00,776.97,747.03,0,In-Store
"1005000",2017-10-01,2017-10-01,,1487390,45,2103,6,3048.00,1553.94,1494.06,0,In-Store
"1006000",2017-10-02,2017-10-02,,1186331,37,1546,5,1510.00,500.30,1009.70,0,In-Store
"1006000",2017-10-02,2017-10-02,,1186331,37,448,3,809.70,412.80,396.90,0,In-Store
"1006000",2017-10-02,2017-10-02,,1186331,37,1441,2,400.00,183.94,216.06,0,In-Store
"1006000",2017-10-02,2017-10-02,,1186331,37,1824,8,256.00,130.48,125.52,0,In-Store
"1006000",2017-10-02,2017-10-02,,1186331,37,1703,3,16.17,8.25,7.92,0,In-Store
"1006001",2017-10-02,2017-10-02,,1507007,63,1449,3,900.00,413.88,486.12,0,In-Store
"1006001",2017-10-02,2017-10-02,,1507007,63,2273,3,689.97,317.28,372.69,0,In-Store
"1006001",2017-10-02,2017-10-02,,1507007,63,371,1,599.00,275.46,323.54,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,490,2,1738.00,575.84,1162.16,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,1894,7,12726.00,5852.21,6873.79,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,2151,10,1299.00,662.30,636.70,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,1560,2,660.00,303.52,356.48,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,437,1,499.90,254.86,245.04,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,1735,9,252.00,128.52,123.48,0,In-Store
"1006002",2017-10-02,2017-10-02,,2082335,55,1585,4,91.56,30.32,61.24,0,In-Store
"1006003",2017-10-02,2017-10-05,2017-10-05,965207,0,750,2,19.00,8.74,10.26,3,Online
"1006004",2017-10-02,2017-10-06,2017-10-06,1396464,0,2109,9,2317.50,1181.52,1135.98,4,Online
"1006005",2017-10-02,2017-10-02,,1139726,40,1638,2,27.78,12.78,15.00,0,In-Store
"1006005",2017-10-02,2017-10-02,,1139726,40,1516,5,1440.00,662.20,777.80,0,In-Store
"1006006",2017-10-02,2017-10-02,,1304549,44,1670,1,8.99,4.13,4.86,0,In-Store
"1006006",2017-10-02,2017-10-02,,1304549,44,160,2,2199.98,1011.70,1188.28,0,In-Store
"1006006",2017-10-02,2017-10-02,,1304549,44,1617,7,405.93,186.69,219.24,0,In-Store
"1006006",2017-10-02,2017-10-02,,1304549,44,2084,5,474.95,242.15,232.80,0,In-Store
"1006006",2017-10-02,2017-10-02,,1304549,44,1327,3,140.97,46.71,94.26,0,In-Store
"1006007",2017-10-02,2017-10-02,,1525000,64,505,5,3095.00,1025.45,2069.55,0,In-Store
"1006007",2017-10-02,2017-10-02,,1525000,64,1826,3,96.00,48.93,47.07,0,In-Store
"1006007",2017-10-02,2017-10-02,,1525000,64,2512,2,259.98,86.14,173.84,0,In-Store
"1006007",2017-10-02,2017-10-02,,1525000,64,224,2,1198.00,550.92,647.08,0,In-Store
"1006007",2017-10-02,2017-10-02,,1525000,64,1484,1,208.00,95.65,112.35,0,In-Store
"1006007",2017-10-02,2017-10-02,,1525000,64,89,4,599.96,198.76,401.20,0,In-Store
"1007000",2017-10-03,2017-10-03,,1378815,57,143,1,299.99,152.94,147.05,0,In-Store
"1007000",2017-10-03,2017-10-03,,1378815,57,416,5,4845.00,1605.25,3239.75,0,In-Store
"1007000",2017-10-03,2017-10-03,,1378815,57,1046,1,312.00,143.48,168.52,0,In-Store
"1007000",2017-10-03,2017-10-03,,1378815,57,427,2,938.00,431.36,506.64,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,1638,1,13.89,6.39,7.50,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,1656,2,319.98,147.14,172.84,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,2112,5,3955.00,1818.75,2136.25,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,1463,3,879.00,404.22,474.78,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,924,3,5.97,3.03,2.94,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,1573,2,117.98,54.26,63.72,0,In-Store
"1007002",2017-10-03,2017-10-03,,1775445,53,1623,5,1095.00,362.80,732.20,0,In-Store
"1007003",2017-10-03,2017-10-03,,1901852,45,1631,4,50.64,23.28,27.36,0,In-Store
"1007003",2017-10-03,2017-10-03,,1901852,45,424,5,1349.75,688.15,661.60,0,In-Store
"1007003",2017-10-03,2017-10-03,,1901852,45,1452,3,879.00,404.22,474.78,0,In-Store
"1007003",2017-10-03,2017-10-03,,1901852,45,19,1,109.95,50.56,59.39,0,In-Store
"1007004",2017-10-03,2017-10-10,2017-10-10,1668545,0,2362,1,635.99,210.72,425.27,7,Online
"1007005",2017-10-03,2017-10-03,,1960149,61,2041,2,199.98,101.96,98.02,0,In-Store
"1007005",2017-10-03,2017-10-03,,1960149,61,2017,1,99.99,50.98,49.01,0,In-Store
"1007005",2017-10-03,2017-10-03,,1960149,61,1795,2,86.00,43.84,42.16,0,In-Store
"1007005",2017-10-03,2017-10-03,,1960149,61,1729,2,155.36,71.44,83.92,0,In-Store
"1007006",2017-10-03,2017-10-08,2017-10-08,1777880,0,421,10,4690.00,2156.80,2533.20,5,Online
"1007007",2017-10-03,2017-10-03,,385643,8,1215,1,160.00,81.57,78.43,0,In-Store
"1007007",2017-10-03,2017-10-03,,385643,8,130,1,200.00,101.97,98.03,0,In-Store
"1007008",2017-10-03,2017-10-03,,321954,9,2028,2,279.98,142.74,137.24,0,In-Store
"1007008",2017-10-03,2017-10-03,,321954,9,48,3,449.85,229.35,220.50,0,In-Store
"1007008",2017-10-03,2017-10-03,,321954,9,691,4,944.00,312.76,631.24,0,In-Store
"1008000",2017-10-04,2017-10-04,,250990,9,1141,7,3053.40,1011.64,2041.76,0,In-Store
"1008000",2017-10-04,2017-10-04,,250990,9,22,1,134.00,61.62,72.38,0,In-Store
"1008000",2017-10-04,2017-10-04,,250990,9,1509,3,930.00,427.68,502.32,0,In-Store
"1008001",2017-10-04,2017-10-04,,844474,32,596,2,380.00,125.90,254.10,0,In-Store
"1008001",2017-10-04,2017-10-04,,844474,32,440,3,659.85,336.42,323.43,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,1335,2,80.38,36.96,43.42,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,1750,4,436.00,144.44,291.56,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,1606,2,319.98,147.14,172.84,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,1628,2,27.78,12.78,15.00,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,2113,2,1016.00,517.98,498.02,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,1957,3,9599.97,3180.66,6419.31,0,In-Store
"1008002",2017-10-04,2017-10-04,,311493,9,647,2,174.00,88.72,85.28,0,In-Store
"1008004",2017-10-04,2017-10-04,,986188,41,452,1,219.95,112.14,107.81,0,In-Store
"1008004",2017-10-04,2017-10-04,,986188,41,1316,2,19.98,10.18,9.80,0,In-Store
"1008005",2017-10-04,2017-10-13,2017-10-13,1589387,0,1388,3,98.97,45.51,53.46,9,Online
"1008006",2017-10-04,2017-10-04,,595271,22,1500,2,258.00,131.54,126.46,0,In-Store
"1008006",2017-10-04,2017-10-04,,595271,22,1379,1,23.00,10.58,12.42,0,In-Store
"1008007",2017-10-04,2017-10-04,,1981433,47,1586,9,113.94,52.38,61.56,0,In-Store
"1008008",2017-10-04,2017-10-04,,1486156,45,183,2,218.00,100.26,117.74,0,In-Store
"1008008",2017-10-04,2017-10-04,,1486156,45,357,3,990.00,504.72,485.28,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,1581,6,1314.00,435.36,878.64,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,1613,1,109.99,56.08,53.91,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,345,8,5592.00,2571.52,3020.48,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,49,1,199.95,91.95,108.00,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,1354,2,57.98,26.66,31.32,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,71,2,95.90,44.10,51.80,0,In-Store
"1008009",2017-10-04,2017-10-04,,1728306,47,1777,4,172.00,87.68,84.32,0,In-Store
"1008010",2017-10-04,2017-10-08,2017-10-08,1661735,0,60,1,156.00,79.53,76.47,4,Online
"1008010",2017-10-04,2017-10-08,2017-10-08,1661735,0,435,4,1079.80,550.52,529.28,4,Online
"1008010",2017-10-04,2017-10-08,2017-10-08,1661735,0,1642,1,57.88,26.62,31.26,4,Online
"1008010",2017-10-04,2017-10-08,2017-10-08,1661735,0,117,5,849.95,433.35,416.60,4,Online
"1008012",2017-10-04,2017-10-04,,1145581,40,111,1,249.99,82.83,167.16,0,In-Store
"1008013",2017-10-04,2017-10-04,,1959938,64,402,2,2598.00,860.76,1737.24,0,In-Store
"1009000",2017-10-05,2017-10-05,,1898949,56,2341,3,89.97,45.87,44.10,0,In-Store
"1009000",2017-10-05,2017-10-05,,1898949,56,423,4,2396.00,1101.84,1294.16,0,In-Store
"1009000",2017-10-05,2017-10-05,,1898949,56,2005,3,299.97,152.94,147.03,0,In-Store
"1009000",2017-10-05,2017-10-05,,1898949,56,457,1,219.95,112.14,107.81,0,In-Store
"1009001",2017-10-05,2017-10-08,2017-10-08,1813480,0,148,1,2899.99,960.82,1939.17,3,Online
"1009001",2017-10-05,2017-10-08,2017-10-08,1813480,0,80,2,81.10,37.30,43.80,3,Online
"1009001",2017-10-05,2017-10-08,2017-10-08,1813480,0,416,1,969.00,321.05,647.95,3,Online
"1009001",2017-10-05,2017-10-08,2017-10-08,1813480,0,1492,3,717.00,329.73,387.27,3,Online
"1009002",2017-10-05,2017-10-07,2017-10-07,186136,0,1039,3,590.70,271.65,319.05,2,Online
"1009002",2017-10-05,2017-10-07,2017-10-07,186136,0,1625,3,657.00,217.68,439.32,2,Online
"1009003",2017-10-05,2017-10-12,2017-10-12,412039,0,99,7,840.00,386.26,453.74,7,Online
"1009004",2017-10-05,2017-10-05,,1696726,57,1535,2,536.00,246.48,289.52,0,In-Store
"1009005",2017-10-05,2017-10-05,,125391,6,1057,1,588.00,194.82,393.18,0,In-Store
"1009005",2017-10-05,2017-10-05,,125391,6,1032,4,752.00,345.80,406.20,0,In-Store
"1009005",2017-10-05,2017-10-05,,125391,6,991,2,536.00,177.58,358.42,0,In-Store
"1009006",2017-10-05,2017-10-05,,590960,22,71,1,47.95,22.05,25.90,0,In-Store
"1009007",2017-10-05,2017-10-11,2017-10-11,1785720,0,1601,1,159.99,73.57,86.42,6,Online
"1009007",2017-10-05,2017-10-11,2017-10-11,1785720,0,1692,1,6.99,3.56,3.43,6,Online
"1009007",2017-10-05,2017-10-11,2017-10-11,1785720,0,1641,3,37.98,17.46,20.52,6,Online
"1009007",2017-10-05,2017-10-11,2017-10-11,1785720,0,449,6,2094.00,962.94,1131.06,6,Online
"1009008",2017-10-05,2017-10-05,,1441326,43,1031,9,1485.00,682.92,802.08,0,In-Store
"1009008",2017-10-05,2017-10-05,,1441326,43,87,2,199.98,91.96,108.02,0,In-Store
"1009008",2017-10-05,2017-10-05,,1441326,43,42,10,2320.00,1066.90,1253.10,0,In-Store
"1009010",2017-10-05,2017-10-08,2017-10-08,158951,0,1584,1,9.99,5.09,4.90,3,Online
"1009010",2017-10-05,2017-10-08,2017-10-08,158951,0,533,1,279.00,128.30,150.70,3,Online
"1009011",2017-10-05,2017-10-05,,1785720,59,108,2,265.98,122.32,143.66,0,In-Store
"1009011",2017-10-05,2017-10-05,,1785720,59,1305,2,136.00,62.54,73.46,0,In-Store
"1009013",2017-10-05,2017-10-11,2017-10-11,1987493,0,2408,2,599.98,305.88,294.10,6,Online
"1009013",2017-10-05,2017-10-11,2017-10-11,1987493,0,2115,1,877.50,403.53,473.97,6,Online
"1009014",2017-10-05,2017-10-05,,729368,29,459,5,1349.50,688.00,661.50,0,In-Store
"1009014",2017-10-05,2017-10-05,,729368,29,443,3,1047.00,481.47,565.53,0,In-Store
"1009014",2017-10-05,2017-10-05,,729368,29,98,5,600.00,275.90,324.10,0,In-Store
